codgeo,libgeo,zonage_rur
02510,Monthurel,tr2
02511,Montigny-en-Arrouaise,tr3
02512,Montigny-l'Allier,tr4
02513,Montigny-le-Franc,tr1
02514,Montigny-Lengrain,tr2
02515,Montigny-lès-Condé,tr3
02516,Montigny-sous-Marle,tr3
02517,Montigny-sur-Crécy,tr4
02518,Montlevon,tr3
02519,Montloué,tr1
02520,Mont-Notre-Dame,tr3
02521,Montreuil-aux-Lions,tr4
02522,Mont-Saint-Jean,tr1
02523,Mont-Saint-Martin,tr4
02524,Mont-Saint-Père,tr2
02525,Morcourt,tr5
02526,Morgny-en-Thiérache,tr1
02527,Morsain,tr3
02528,Mortefontaine,tr3
02529,Mortiers,tr3
02530,Moulins,tr1
02531,Moussy-Verneuil,tr3
02532,Moÿ-de-l'Aisne,tr4
02533,Muret-et-Crouttes,tr4
02534,Muscourt,tr4
02535,Nampcelles-la-Cour,tr1
02536,Nampteuil-sous-Muret,tr4
02537,Nanteuil-la-Fosse,tr3
